ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	F	F	NO BLAST HIT	NO BLAST HIT	F
S-2	F	T	NO BLAST HIT	T	T
S-3	F	F	NO BLAST HIT	NO BLAST HIT	F
S-4	F	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-5	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-6	F	F	NO BLAST HIT	F	T
S-7	F	F	NO BLAST HIT	F	T
S-8	F	F	NO BLAST HIT	NO BLAST HIT	T
S-9	F	F	NO BLAST HIT	F	FAILED ASSEMBLY
S-10	F	F	NO BLAST HIT	F	T
S-11	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-12	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY
S-13	F	F	NO BLAST HIT	F	F
S-14	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	T
S-15	T	F	NO BLAST HIT	F	F
S-16	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F	F
S-17	F	F	NO BLAST HIT	F	F
S-18	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY
S-19	F	F	NO BLAST HIT	T	T
S-20	T	F	NO BLAST HIT	NO BLAST HIT	F
S-21	T	NO BLAST HIT	NO BLAST HIT	F	T
S-22	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F	T
S-23	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	FAILED ASSEMBLY	F
S-24	F	F	NO BLAST HIT	F	T
S-25	F	F	NO BLAST HIT	F	T
S-26	F	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-27	T	F	NO BLAST HIT	F	T
S-28	F	NO BLAST HIT	NO BLAST HIT	F	T
S-29	F	F	NO BLAST HIT	F	T
