ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	F	T	T	F	T
S-2	T	T	F	T	T
S-3	T	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-4	T	T	NO BLAST HIT	F	T
S-5	F	NO BLAST HIT	NO BLAST HIT	T	T
S-6	T	T	NO BLAST HIT	T	T
S-7	F	T	NO BLAST HIT	T	T
S-8	T	T	T	T	T
S-9	F	T	NO BLAST HIT	F	T
S-10	T	T	NO BLAST HIT	T	T
S-11	T	NO BLAST HIT	NO BLAST HIT	T	T
S-12	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-13	T	T	T	T	T
S-14	F	T	T	T	T
S-15	T	T	T	T	T
S-16	F	T	NO BLAST HIT	T	T
S-17	T	T	T	T	T
S-18	F	F	NO BLAST HIT	F	F
S-19	T	T	NO BLAST HIT	T	T
S-20	T	T	T	T	T
S-21	T	F	NO BLAST HIT	F	T
S-22	T	F	NO BLAST HIT	T	T
S-23	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-24	T	T	T	T	T
S-25	T	T	F	T	T
S-26	T	T	NO BLAST HIT	T	T
S-27	T	T	T	T	T
S-28	T	T	NO BLAST HIT	T	T
S-29	T	T	T	T	T
S-30	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-31	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-32	NO BLAST HIT	F	NO BLAST HIT	F	T
S-33	T	F	NO BLAST HIT	F	T
S-34	F	F	F	F	T
S-35	F	F	NO BLAST HIT	F	T
S-36	T	F	NO BLAST HIT	F	T
S-37	F	F	NO BLAST HIT	F	T
S-38	T	F	NO BLAST HIT	F	T
S-39	T	T	NO BLAST HIT	F	T
S-40	T	NO BLAST HIT	NO BLAST HIT	F	T
S-41	F	F	NO BLAST HIT	F	T
S-42	T	T	T	T	T
S-43	T	F	T	T	T
S-44	T	T	NO BLAST HIT	T	T
S-45	T	T	T	T	T
S-46	T	T	NO BLAST HIT	T	T
S-47	T	T	T	T	T
S-48	T	T	T	T	T
S-49	T	T	NO BLAST HIT	T	T
S-50	T	T	NO BLAST HIT	T	T
S-51	T	T	T	T	T
S-52	T	NO BLAST HIT	NO BLAST HIT	F	T
S-53	T	T	F	T	T
S-54	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T	F
S-55	T	T	T	T	NO BLAST HIT
S-56	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F	T
S-57	NO BLAST HIT	F	NO BLAST HIT	NO BLAST HIT	T
S-58	T	F	T	T	T
S-59	T	F	T	T	F
S-60	F	T	NO BLAST HIT	T	T
S-61	F	T	F	T	T
S-62	F	T	T	F	T
S-63	T	F	NO BLAST HIT	F	T
S-64	F	F	NO BLAST HIT	F	T
S-65	F	F	NO BLAST HIT	F	T
S-66	F	F	NO BLAST HIT	T	T
S-67	F	T	F	F	T
S-68	F	NO BLAST HIT	NO BLAST HIT	T	T
S-69	F	T	NO BLAST HIT	T	T
S-70	F	F	NO BLAST HIT	F	T
S-71	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-72	F	T	NO BLAST HIT	T	T
S-73	F	F	NO BLAST HIT	T	T
S-74	F	T	NO BLAST HIT	T	T
S-75	T	NO BLAST HIT	NO BLAST HIT	T	T
S-76	F	NO BLAST HIT	NO BLAST HIT	T	T
S-77	F	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-78	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-79	F	T	NO BLAST HIT	T	T
S-80	F	F	F	T	T
S-81	T	F	NO BLAST HIT	T	T
S-82	T	F	T	F	F
S-83	T	T	NO BLAST HIT	T	T
S-84	T	T	NO BLAST HIT	T	T
S-85	T	T	NO BLAST HIT	F	T
S-86	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T	T
S-87	T	F	F	F	T
S-88	T	F	NO BLAST HIT	T	T
S-89	T	F	NO BLAST HIT	T	T
S-90	F	T	NO BLAST HIT	T	T
S-91	T	T	T	T	T
S-92	T	T	NO BLAST HIT	T	T
S-93	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-94	T	T	T	T	T
S-95	T	T	NO BLAST HIT	T	T
S-96	T	T	T	T	T
S-97	T	T	NO BLAST HIT	T	T
S-98	T	T	NO BLAST HIT	T	T
S-99	T	T	T	T	T
S-100	T	T	NO BLAST HIT	T	T
