ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	S-96	S-55	NO BLAST HIT	S-80	S-7
S-2	S-59	S-80	NO BLAST HIT	S-59	S-3
S-3	S-100	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-7
S-4	S-96	S-80	NO BLAST HIT	S-9	S-7
S-5	NO BLAST HIT	S-80	NO BLAST HIT	NO BLAST HIT	S-3
S-6	S-99	NO BLAST HIT	NO BLAST HIT	S-80	S-3
S-7	NO BLAST HIT	S-96	NO BLAST HIT	S-59	S-3
S-8	S-98	S-55	NO BLAST HIT	NO BLAST HIT	S-7
S-9	S-59	S-34	NO BLAST HIT	S-80	S-7
S-10	S-59	NO BLAST HIT	NO BLAST HIT	S-34	S-7
S-11	S-100	S-34	NO BLAST HIT	S-13	S-13
S-12	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-13	S-48	S-19	NO BLAST HIT	S-34	S-19
S-14	S-13	S-34	NO BLAST HIT	S-13	S-92
S-15	S-20	S-34	NO BLAST HIT	S-13	S-13
S-16	S-100	S-20	NO BLAST HIT	S-13	S-20
S-17	S-13	S-19	NO BLAST HIT	S-13	S-20
S-18	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-7
S-19	S-17	S-80	NO BLAST HIT	S-13	S-13
S-20	S-13	S-87	NO BLAST HIT	S-13	S-13
S-21	S-48	S-34	NO BLAST HIT	S-80	S-26
S-22	S-48	S-34	NO BLAST HIT	S-96	S-26
S-23	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-26
S-24	S-48	S-80	NO BLAST HIT	S-34	S-23
S-25	S-48	S-80	NO BLAST HIT	S-27	S-22
S-26	S-24	S-21	NO BLAST HIT	S-96	S-22
S-27	S-48	S-80	NO BLAST HIT	S-80	S-25
S-28	S-24	S-29	NO BLAST HIT	S-24	S-25
S-29	S-21	S-80	NO BLAST HIT	S-80	S-23
S-30	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-26
S-31	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-26
S-32	S-100	S-96	NO BLAST HIT	S-80	S-37
S-33	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-32
S-34	S-48	S-80	S-59	S-80	S-90
S-35	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-31
S-36	S-34	S-34	NO BLAST HIT	S-80	S-35
S-37	S-48	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-31
S-38	S-99	S-66	NO BLAST HIT	S-96	S-35
S-39	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-36
S-40	S-96	S-80	NO BLAST HIT	S-80	S-37
S-41	NO BLAST HIT	S-80	NO BLAST HIT	S-48	S-50
S-42	S-48	S-27	S-34	S-34	S-50
S-43	S-96	NO BLAST HIT	NO BLAST HIT	S-48	S-48
S-44	S-96	S-34	NO BLAST HIT	S-47	S-46
S-45	S-42	S-59	NO BLAST HIT	S-80	S-50
S-46	S-48	S-34	NO BLAST HIT	NO BLAST HIT	S-48
S-47	S-58	S-34	NO BLAST HIT	S-34	S-50
S-48	S-42	S-80	NO BLAST HIT	S-80	S-46
S-49	S-58	S-42	NO BLAST HIT	S-99	S-46
S-50	S-48	S-80	NO BLAST HIT	S-45	S-48
S-51	S-45	S-34	S-59	S-34	S-60
S-52	S-59	NO BLAST HIT	NO BLAST HIT	S-80	S-57
S-53	S-59	S-80	NO BLAST HIT	S-80	S-58
S-54	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-55	S-64
S-55	S-59	S-51	NO BLAST HIT	S-47	S-53
S-56	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-49
S-57	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-58
S-58	S-48	S-96	NO BLAST HIT	S-80	S-53
S-59	S-51	S-80	S-34	S-47	S-58
S-60	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-19
S-61	S-48	S-34	NO BLAST HIT	S-87	S-63
S-62	S-58	S-27	NO BLAST HIT	S-87	NO BLAST HIT
S-63	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-84
S-64	S-48	S-61	NO BLAST HIT	S-96	S-63
S-65	S-69	S-88	NO BLAST HIT	S-80	S-63
S-66	S-96	S-62	NO BLAST HIT	S-80	S-79
S-67	S-87	S-88	NO BLAST HIT	S-87	S-84
S-68	S-69	NO BLAST HIT	NO BLAST HIT	S-87	S-70
S-69	S-65	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-79
S-70	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-63
S-71	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-76
S-72	S-48	S-80	NO BLAST HIT	S-80	NO BLAST HIT
S-73	S-99	S-80	NO BLAST HIT	S-96	S-76
S-74	S-99	NO BLAST HIT	NO BLAST HIT	S-80	S-76
S-75	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-76
S-76	S-48	NO BLAST HIT	NO BLAST HIT	S-80	S-31
S-77	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-74
S-78	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-79
S-79	S-48	S-80	NO BLAST HIT	S-80	S-71
S-80	S-48	S-34	NO BLAST HIT	S-34	NO BLAST HIT
S-81	S-87	S-62	NO BLAST HIT	NO BLAST HIT	S-84
S-82	S-58	S-87	NO BLAST HIT	S-89	S-35
S-83	S-59	S-62	NO BLAST HIT	S-66	S-90
S-84	S-69	S-88	NO BLAST HIT	S-80	S-90
S-85	S-87	S-62	NO BLAST HIT	S-80	S-90
S-86	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-90
S-87	S-48	S-34	NO BLAST HIT	S-34	S-90
S-88	S-80	S-61	NO BLAST HIT	S-87	S-84
S-89	S-58	NO BLAST HIT	NO BLAST HIT	S-87	S-86
S-90	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-83
S-91	S-96	S-99	NO BLAST HIT	S-96	S-92
S-92	S-96	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-3
S-93	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-94	S-91	S-96	NO BLAST HIT	S-96	S-92
S-95	S-99	S-99	NO BLAST HIT	S-96	S-92
S-96	S-48	S-34	NO BLAST HIT	S-34	S-92
S-97	S-96	S-96	NO BLAST HIT	S-96	S-92
S-98	S-96	S-99	NO BLAST HIT	S-96	S-97
S-99	S-96	S-96	NO BLAST HIT	S-96	S-92
S-100	S-96	S-99	NO BLAST HIT	S-96	S-92
