ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	S-7	S-10	S-8	S-7	S-8
S-2	S-7	S-1	S-8	S-7	S-7
S-3	S-88	S-10	NO BLAST HIT	S-10	S-7
S-4	S-9	S-10	NO BLAST HIT	S-10	S-5
S-5	S-9	S-10	NO BLAST HIT	S-10	S-6
S-6	S-9	S-10	S-2	S-10	S-5
S-7	S-1	S-1	S-8	S-1	S-3
S-8	S-7	S-1	S-7	S-7	S-2
S-9	S-4	S-10	NO BLAST HIT	S-10	S-2
S-10	S-9	S-9	NO BLAST HIT	S-9	S-6
S-11	S-19	S-13	NO BLAST HIT	S-19	S-13
S-12	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-50
S-13	S-19	S-19	S-19	S-19	S-11
S-14	S-19	S-19	NO BLAST HIT	S-13	S-19
S-15	S-20	S-20	S-20	S-20	S-17
S-16	S-20	S-20	NO BLAST HIT	S-20	S-1
S-17	S-20	S-20	S-20	S-20	S-15
S-18	S-29	S-8	NO BLAST HIT	S-1	S-2
S-19	S-13	S-14	S-13	S-13	S-14
S-20	S-17	S-16	S-15	S-15	S-17
S-21	S-22	S-27	S-27	S-25	S-26
S-22	S-21	S-27	S-21	S-21	S-28
S-23	S-100	NO BLAST HIT	NO BLAST HIT	S-29	S-21
S-24	S-26	S-28	S-26	S-26	S-29
S-25	S-27	S-28	S-80	S-26	S-28
S-26	S-24	S-24	S-24	S-24	S-24
S-27	S-25	S-21	S-21	S-21	S-23
S-28	S-29	S-24	S-29	S-29	S-22
S-29	S-28	S-24	S-28	S-28	S-24
S-30	NO BLAST HIT	S-80	NO BLAST HIT	S-100	S-26
S-31	S-100	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-39
S-32	S-36	S-80	NO BLAST HIT	S-72	S-39
S-33	S-100	S-36	NO BLAST HIT	S-80	S-39
S-34	S-36	S-38	S-80	S-80	S-35
S-35	S-80	S-37	NO BLAST HIT	S-80	S-33
S-36	S-34	S-38	S-34	S-80	S-35
S-37	S-79	S-25	NO BLAST HIT	S-80	S-35
S-38	S-39	S-34	NO BLAST HIT	S-36	S-33
S-39	S-36	S-79	NO BLAST HIT	S-80	S-33
S-40	S-36	S-79	S-36	S-80	S-39
S-41	S-59	S-50	NO BLAST HIT	S-50	S-43
S-42	S-48	S-50	S-49	S-50	S-50
S-43	S-48	S-50	S-50	S-50	S-48
S-44	S-48	S-50	NO BLAST HIT	S-50	S-50
S-45	S-48	S-50	S-49	S-47	S-43
S-46	S-49	S-50	S-47	S-50	S-50
S-47	S-50	S-50	S-49	S-45	S-50
S-48	S-45	S-50	S-49	S-50	S-43
S-49	S-44	S-50	S-48	S-50	S-50
S-50	S-47	S-48	S-47	S-48	S-46
S-51	S-58	S-58	S-55	S-58	S-57
S-52	S-55	NO BLAST HIT	NO BLAST HIT	S-80	S-60
S-53	S-55	S-55	NO BLAST HIT	S-55	S-55
S-54	S-55	S-58	NO BLAST HIT	S-80	S-56
S-55	S-53	S-53	S-51	S-53	S-53
S-56	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-54
S-57	NO BLAST HIT	S-58	NO BLAST HIT	NO BLAST HIT	S-52
S-58	S-51	S-51	S-51	S-51	S-57
S-59	S-51	S-51	S-51	S-58	S-52
S-60	S-55	S-58	NO BLAST HIT	S-59	S-52
S-61	S-66	S-62	S-89	S-67	S-63
S-62	S-66	S-61	S-89	S-65	S-70
S-63	S-83	S-88	NO BLAST HIT	S-87	S-70
S-64	S-69	S-87	S-62	S-85	S-70
S-65	S-89	S-67	S-67	S-62	S-70
S-66	S-62	S-82	S-62	S-65	S-69
S-67	S-87	S-65	S-65	S-65	S-68
S-68	S-89	S-88	NO BLAST HIT	S-61	S-70
S-69	S-64	S-87	NO BLAST HIT	S-82	S-70
S-70	S-86	S-82	NO BLAST HIT	S-84	S-69
S-71	S-59	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-78
S-72	S-79	S-73	S-80	S-36	S-79
S-73	S-80	S-72	NO BLAST HIT	S-80	S-79
S-74	S-80	S-80	NO BLAST HIT	S-80	S-76
S-75	S-80	NO BLAST HIT	NO BLAST HIT	S-80	S-78
S-76	S-80	S-79	NO BLAST HIT	S-79	S-74
S-77	S-100	S-80	NO BLAST HIT	S-80	S-79
S-78	S-80	NO BLAST HIT	NO BLAST HIT	S-100	S-79
S-79	S-72	S-73	NO BLAST HIT	S-73	S-78
S-80	S-74	S-73	S-25	S-36	S-73
S-81	S-87	S-82	S-89	S-82	S-84
S-82	S-87	S-62	S-89	S-65	S-84
S-83	S-87	S-87	NO BLAST HIT	S-87	S-85
S-84	S-89	S-82	NO BLAST HIT	S-67	S-83
S-85	S-87	S-87	S-89	S-67	S-83
S-86	S-85	S-87	NO BLAST HIT	S-85	S-85
S-87	S-69	S-62	S-89	S-65	S-90
S-88	S-87	S-62	S-80	S-67	S-81
S-89	S-87	S-67	S-87	S-67	S-86
S-90	S-100	NO BLAST HIT	NO BLAST HIT	S-85	S-87
S-91	S-98	S-100	S-95	S-99	S-99
S-92	S-100	S-96	NO BLAST HIT	S-96	S-99
S-93	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-100
S-94	S-100	S-96	S-99	S-96	S-95
S-95	S-98	S-96	S-91	S-96	S-94
S-96	S-100	S-100	S-98	S-91	S-95
S-97	S-100	S-100	NO BLAST HIT	S-94	S-98
S-98	S-95	S-100	S-96	S-91	S-99
S-99	S-100	S-100	S-94	S-91	S-92
S-100	S-99	S-99	S-98	S-96	S-98
