ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	S-13	S-59	NO BLAST HIT	NO BLAST HIT	S-19
S-2	S-96	S-3	NO BLAST HIT	S-6	S-3
S-3	S-96	S-62	NO BLAST HIT	NO BLAST HIT	S-23
S-4	S-96	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-11
S-5	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-30
S-6	S-96	S-59	NO BLAST HIT	S-99	S-1
S-7	S-96	S-51	NO BLAST HIT	S-34	S-3
S-8	S-96	S-80	NO BLAST HIT	NO BLAST HIT	S-5
S-9	S-99	S-82	NO BLAST HIT	S-34	NO BLAST HIT
S-10	S-99	S-51	NO BLAST HIT	S-100	S-3
S-11	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-23
S-12	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-13	S-96	S-47	NO BLAST HIT	S-34	S-23
S-14	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-20
S-15	S-13	S-34	NO BLAST HIT	S-27	S-22
S-16	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-80	S-28
S-17	S-96	S-45	NO BLAST HIT	S-27	S-84
S-18	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-19	S-96	S-51	NO BLAST HIT	S-13	S-13
S-20	S-13	S-51	NO BLAST HIT	NO BLAST HIT	S-23
S-21	S-26	NO BLAST HIT	NO BLAST HIT	S-34	S-23
S-22	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-45	S-23
S-23	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-48
S-24	S-13	S-51	NO BLAST HIT	S-6	S-23
S-25	S-96	S-34	NO BLAST HIT	S-36	S-22
S-26	S-59	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-23
S-27	S-24	S-19	NO BLAST HIT	S-99	S-25
S-28	S-48	NO BLAST HIT	NO BLAST HIT	S-59	S-27
S-29	S-96	S-34	NO BLAST HIT	S-51	S-30
S-30	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-23
S-31	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-23
S-32	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-90
S-33	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-34	S-96	S-51	NO BLAST HIT	S-13	NO BLAST HIT
S-35	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-31
S-36	S-48	NO BLAST HIT	NO BLAST HIT	S-45	S-35
S-37	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-84
S-38	S-45	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-39	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	S-25
