ID	rbcL	matK	trnL-F	ndhF	ITS
S-1	F	F	NO BLAST HIT	F	T
S-2	F	F	NO BLAST HIT	F	T
S-3	F	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-4	F	F	NO BLAST HIT	T	T
S-5	NO BLAST HIT	F	NO BLAST HIT	NO BLAST HIT	T
S-6	F	NO BLAST HIT	NO BLAST HIT	F	T
S-7	NO BLAST HIT	F	NO BLAST HIT	F	T
S-8	F	F	NO BLAST HIT	NO BLAST HIT	T
S-9	F	F	NO BLAST HIT	F	T
S-10	F	NO BLAST HIT	NO BLAST HIT	F	T
S-11	F	F	NO BLAST HIT	T	T
S-12	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT
S-13	F	T	NO BLAST HIT	F	T
S-14	T	F	NO BLAST HIT	T	F
S-15	T	F	NO BLAST HIT	T	T
S-16	F	T	NO BLAST HIT	T	T
S-17	T	T	NO BLAST HIT	T	T
S-18	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-19	T	F	NO BLAST HIT	T	T
S-20	T	F	NO BLAST HIT	T	T
S-21	F	F	NO BLAST HIT	F	T
S-22	F	F	NO BLAST HIT	F	T
S-23	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-24	F	F	NO BLAST HIT	F	T
S-25	F	F	NO BLAST HIT	T	T
S-26	T	T	NO BLAST HIT	F	T
S-27	F	F	NO BLAST HIT	F	T
S-28	T	T	NO BLAST HIT	T	T
S-29	T	F	NO BLAST HIT	F	T
S-30	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-31	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-32	F	F	NO BLAST HIT	F	T
S-33	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-34	F	F	F	F	F
S-35	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-36	T	T	NO BLAST HIT	F	T
S-37	F	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-38	F	F	NO BLAST HIT	F	T
S-39	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-40	F	F	NO BLAST HIT	F	T
S-41	NO BLAST HIT	F	NO BLAST HIT	T	T
S-42	T	F	F	F	T
S-43	F	NO BLAST HIT	NO BLAST HIT	T	T
S-44	F	F	NO BLAST HIT	T	T
S-45	T	F	NO BLAST HIT	F	T
S-46	T	F	NO BLAST HIT	NO BLAST HIT	T
S-47	F	F	NO BLAST HIT	F	T
S-48	T	F	NO BLAST HIT	F	T
S-49	F	T	NO BLAST HIT	F	T
S-50	T	F	NO BLAST HIT	T	T
S-51	F	F	T	F	T
S-52	T	NO BLAST HIT	NO BLAST HIT	F	T
S-53	T	F	NO BLAST HIT	F	T
S-54	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T	F
S-55	T	T	NO BLAST HIT	F	T
S-56	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-57	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-58	F	F	NO BLAST HIT	F	T
S-59	T	F	F	F	T
S-60	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-61	F	F	NO BLAST HIT	F	T
S-62	F	F	NO BLAST HIT	F	NO BLAST HIT
S-63	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-64	F	T	NO BLAST HIT	F	T
S-65	T	F	NO BLAST HIT	F	T
S-66	F	T	NO BLAST HIT	F	F
S-67	F	F	NO BLAST HIT	F	F
S-68	T	NO BLAST HIT	NO BLAST HIT	F	T
S-69	T	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
S-70	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-71	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-72	F	T	NO BLAST HIT	T	NO BLAST HIT
S-73	F	T	NO BLAST HIT	F	T
S-74	F	NO BLAST HIT	NO BLAST HIT	T	T
S-75	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-76	F	NO BLAST HIT	NO BLAST HIT	T	F
S-77	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-78	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-79	F	T	NO BLAST HIT	T	T
S-80	F	F	NO BLAST HIT	F	NO BLAST HIT
S-81	T	F	NO BLAST HIT	NO BLAST HIT	T
S-82	F	T	NO BLAST HIT	T	F
S-83	F	F	NO BLAST HIT	F	T
S-84	F	T	NO BLAST HIT	F	T
S-85	T	F	NO BLAST HIT	F	T
S-86	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-87	F	F	NO BLAST HIT	F	T
S-88	F	F	NO BLAST HIT	T	T
S-89	F	NO BLAST HIT	NO BLAST HIT	T	T
S-90	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	T
S-91	T	T	NO BLAST HIT	T	T
S-92	T	NO BLAST HIT	NO BLAST HIT	NO BLAST HIT	F
