sp	matK	rbcL	ndhF	trnL-F	ITS
2764	2711	2711	2700	2700	2711	
3536	3527	3527	3527	FAIL	3527	
C-280	C-86	C-86	C-86	C-86	C-69	
C-86	C-313	C-17	C-69	C-313	C-69	
C-342	C-136	C-136	C-136	C-21	C-21	
1525	FAIL	FAIL	FAIL	FAIL	3431	
C-313	C-86	C-86	C-17	C-17	C-69	
C-259	C-40	C-40	C-40	C-40	C-32	
C-265	C-263	C-263	C-263	C-263	C-414	
C-48	C-181	C-181	C-181	C-130	C-181	
C-251	C-32	C-40	C-40	FAIL	C-259	
C-64	C-263	C-263	C-265	C-265	C-414	
C-365	C-393	C-393	C-271	C-271	C-393	
C-129	C-127	C-127	C-127	C-127	C-127	
C-303	C-48	C-263	C-130	C-40	C-414	
C-227	C-40	C-40	C-40	C-280	C-40	
C-127	C-296	C-296	C-129	C-129	C-296	
C-271	C-365	C-393	C-365	C-365	C-393	
C-136	C-21	C-21	C-21	C-263	C-21	
3419	3423	3676	3676	777	1531	
C-263	C-64	C-136	C-265	C-265	C-64	
1503	2657	1314	2657	FAIL	1314	
C-40	C-259	C-251	C-259	C-259	C-259	
C-296	C-127	C-127	C-127	C-127	C-127	
3545	FAIL	FAIL	FAIL	FAIL	3349	
C-69	C-86	C-86	C-17	C-17	C-17	
2095	3431	1525	3431	777	3980	
C-130	C-48	C-303	C-303	C-181	C-414	
C-17	C-86	C-86	C-313	C-69	C-69	
C-32	C-40	C-251	C-40	C-40	C-259	
1102	69	69	69	69	2650	
C-181	C-48	C-48	C-48	C-365	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
1860	FAIL	FAIL	FAIL	FAIL	1853	
2711	3955	2764	2700	FAIL	2700	
3279	3301	3301	3431	3301	3980	
1610	FAIL	FAIL	FAIL	FAIL	1570	
3966	3452	3452	682	3452	3452	
3606	S-80	1939	679	FAIL	1905	
C-239	C-387	C-387	C-387	C-387	C-387	
C-387	C-500	C-239	C-500	C-239	C-239	
2960	1850	3536	3536	FAIL	1850	
3338	1531	3518	3518	3518	1531	
