sp	matK	rbcL	ndhF	trnL-F	ITS
2764	2711	2711	2700	2700	2711	
3536	3527	3527	3527	3527	3527	
C-280	C-86	C-86	C-86	C-86	C-69	
C-86	C-313	C-17	C-17	C-313	C-69	
C-342	C-136	C-136	C-136	C-21	C-21	
1525	3431	777	777	FAIL	3431	
C-313	C-86	C-86	C-17	C-17	C-69	
C-259	C-40	C-40	C-40	C-40	C-32	
C-265	C-263	C-263	C-263	C-263	C-414	
C-48	C-181	C-181	C-181	C-130	C-181	
C-251	C-32	C-40	C-40	C-313	C-259	
C-64	C-263	C-263	C-265	C-263	C-414	
C-365	C-393	C-393	C-271	C-271	C-393	
C-129	C-127	C-127	C-127	C-127	C-127	
C-303	C-48	C-130	C-130	C-40	C-414	
C-227	C-40	C-40	C-40	C-40	C-40	
C-127	C-296	C-296	C-129	C-129	C-296	
C-271	C-365	C-393	C-365	C-365	C-393	
C-136	C-21	C-21	C-21	C-263	C-21	
3419	3423	3676	3676	777	1531	
C-263	C-64	C-136	C-265	C-21	C-64	
1503	2657	1314	2657	2657	1314	
C-40	C-259	C-251	C-259	C-259	C-259	
C-296	C-127	C-127	C-127	C-127	C-127	
3545	3349	3349	FAIL	FAIL	3349	
C-69	C-86	C-86	C-17	C-17	C-17	
2095	3431	777	3431	777	3980	
C-130	C-48	C-303	C-303	C-181	C-414	
C-17	C-86	C-86	C-313	C-69	C-69	
C-32	C-40	C-251	C-40	C-40	C-259	
1102	69	69	69	69	2650	
C-181	C-48	C-48	C-48	C-365	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
1860	3536	1853	S-60	1853	1853	
2711	2764	2700	2700	3955	2700	
3279	3301	3301	3431	3301	3980	
1610	2100	3640	3431	FAIL	1570	
3966	3452	3452	682	3452	3357	
3606	S-59	777	1860	FAIL	1905	
C-239	C-387	C-387	C-387	C-387	C-387	
C-387	C-500	C-239	C-500	C-239	C-239	
2960	1850	3536	1850	FAIL	1850	
3338	1531	3518	3518	3518	1531	
C-393	C-365	C-271	C-365	C-271	C-271	
C-500	C-387	C-239	C-387	C-387	C-387	
3970	FAIL	1716	1703	FAIL	1716	
170	1102	69	2650	69	2650	
2693	2764	2764	2700	FAIL	2711	
2311	2909	2906	2272	2906	2272	
3676	2942	2942	2942	2942	2942	
3527	3536	3536	3536	3536	1850	
2700	2764	2764	2693	2764	2711	
4004	1176	1176	1176	FAIL	1176	
3980	3301	821	679	FAIL	3279	
3129	1774	679	1774	1770	1774	
1770	1774	1774	1774	1774	1774	
3341	3342	3231	3342	FAIL	3342	
1716	3301	3970	777	FAIL	1705	
3955	2764	2764	2700	2700	3536	
1705	3600	3600	3600	1165	1165	
3234	3230	3230	3230	3386	3230	
1915	1089	2065	821	FAIL	743	
3935	679	2831	2168	1740	679	
3301	3279	3279	3279	3279	3980	
3230	3234	3386	3234	3384	3234	
2168	679	2831	2831	1770	679	
3729	1740	3444	1740	FAIL	1740	
2831	679	1770	2168	1774	679	
1739	1740	1740	1740	FAIL	1740	
1182	3680	3679	3121	3679	3680	
1502	3121	3121	3121	3121	3121	
1531	3518	1534	3338	3518	3518	
777	3431	3431	3431	3431	3431	
845	FAIL	3220	1703	FAIL	3980	
533	2657	821	3375	FAIL	3980	
3448	3316	3316	654	FAIL	654	
679	2168	1770	2168	1770	FAIL	
3211	176	69	168	69	2650	
2763	2764	2764	2711	2700	2711	
3231	3386	3230	3235	3386	3386	
3316	3448	3448	654	FAIL	654	
3423	944	3676	3676	2942	3129	
3349	3211	655	3211	3211	3545	
1165	3600	777	3600	FAIL	3600	
2794	FAIL	FAIL	FAIL	FAIL	2711	
3386	3231	3230	3231	3231	3231	
3384	3386	3230	3234	3386	3230	
3345	710	2798	710	FAIL	2711	
3679	3680	3680	3680	3680	3680	
3342	3340	3340	3235	3341	3340	
1661	1382	1382	1386	1386	1382	
3518	1534	3338	1534	FAIL	1531	
1386	1382	1661	1661	1661	1324	
C-414	C-303	C-303	C-303	FAIL	C-303	
3444	1740	3729	1740	FAIL	1739	
3594	3353	3353	3353	3353	1162	
2272	2906	2906	2909	2909	2279	
3220	3301	1702	1590	FAIL	845	
3353	3594	3594	3594	3594	3594	
270	1324	1324	1661	1386	1382	
