sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
1162@Camarea	3353@Camarea	3353@Camarea	3594@Camarea	3594@Camarea	3594@Camarea	Camarea
1165@Dicella	FAIL	FAIL	FAIL	FAIL	3600@Dicella	Dicella
1182@Tristellateia	3679@Tristellateia	3679@Tristellateia	3121@Tristellateia	3680@Tristellateia	3680@Tristellateia	Tristellateia
1240@Diplopterys	S-40	3423@Tetrapterys	1939@Diplopterys	FAIL	1939@Diplopterys	Diplopterys
1285@Aspidopterys	3340@Aspidopterys	3342@Aspidopterys	3235@Malpighia	3340@Aspidopterys	3342@Aspidopterys	Aspidopterys
1314@Hiptage	2657@Hiptage	2657@Hiptage	2657@Hiptage	2657@Hiptage	1503@Hiptage	Hiptage
1324@Microsteira	270@Microsteira	270@Microsteira	270@Microsteira	270@Microsteira	270@Microsteira	Microsteira
1382@Microsteira	1386@Microsteira	1661@Microsteira	1386@Microsteira	FAIL	270@Microsteira	Microsteira
1386@Microsteira	1382@Microsteira	1661@Microsteira	1661@Microsteira	1661@Microsteira	1661@Microsteira	Microsteira
1502@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	Tristellateia
1503@Hiptage	2657@Hiptage	1314@Hiptage	2657@Hiptage	FAIL	1314@Hiptage	Hiptage
1525@Christianella	FAIL	FAIL	FAIL	FAIL	3431@Christianella	Christianella
1531@Amorimia	3518@Amorimia	1534@Amorimia	3338@Amorimia	3518@Amorimia	3518@Amorimia	Amorimia
1534@Amorimia	3518@Amorimia	1531@Amorimia	3518@Amorimia	3518@Amorimia	FAIL	Amorimia
1556@Malpighia	3234@Malpighia	3230@Malpighia	3234@Malpighia	3386@Malpighia	3230@Malpighia	Malpighia
1570@Malpighiodes	2100@Callaeum	1702@Callaeum	2100@Callaeum	FAIL	1610@Malpighiodes	Malpighiodes
1590@Carolus	1543@Carolus	1543@Carolus	644@Carolus	FAIL	644@Carolus	Carolus
1610@Malpighiodes	FAIL	FAIL	FAIL	FAIL	1570@Malpighiodes	Malpighiodes
1653@Galphimia	2647@Galphimia	2647@Galphimia	2647@Galphimia	2647@Galphimia	FAIL	Galphimia
1661@Microsteira	1382@Microsteira	1382@Microsteira	1386@Microsteira	1386@Microsteira	1382@Microsteira	Microsteira
1676@Aspicarpa	1678@Aspicarpa	618@Aspicarpa	746@Aspicarpa	1678@Aspicarpa	618@Aspicarpa	Aspicarpa
1678@Aspicarpa	1677@Aspicarpa	1677@Aspicarpa	746@Aspicarpa	1677@Aspicarpa	618@Aspicarpa	Aspicarpa
168@Acridocarpus	1102@Acridocarpus	3211@Acridocarpus	170@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus	Acridocarpus
1699@Callaeum	2100@Callaeum	2100@Callaeum	2100@Callaeum	1702@Callaeum	1702@Callaeum	Callaeum
170@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
1702@Callaeum	2100@Callaeum	1679@Callaeum	2100@Callaeum	1699@Callaeum	1699@Callaeum	Callaeum
1703@Callaeum	2100@Callaeum	1679@Callaeum	1702@Callaeum	1679@Callaeum	1702@Callaeum	Callaeum
1705@Dicella	3386@Malpighia	3600@Dicella	3600@Dicella	FAIL	1165@Dicella	Dicella
1716@Dicella	FAIL	FAIL	FAIL	FAIL	1705@Dicella	Dicella
1717@Galphimia	1582@Galphimia	2647@Galphimia	2647@Galphimia	1582@Galphimia	FAIL	Galphimia
1739@Thryallis	1740@Thryallis	1740@Thryallis	1740@Thryallis	FAIL	1740@Thryallis	Thryallis
174@Triaspis	4004@Triaspis	4004@Triaspis	1089@Triaspis	FAIL	3122@Triaspis	Triaspis
1740@Thryallis	1739@Thryallis	1739@Thryallis	1739@Thryallis	FAIL	1739@Thryallis	Thryallis
176@Acridocarpus	3211@Acridocarpus	69@Acridocarpus	3211@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus	Acridocarpus
1770@Bunchosia	679@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	Bunchosia
1774@Bunchosia	1770@Bunchosia	1770@Bunchosia	1770@Bunchosia	1770@Bunchosia	1770@Bunchosia	Bunchosia
1845@Bronwenia	1860@Bronwenia	1860@Bronwenia	1860@Bronwenia	FAIL	1860@Bronwenia	Bronwenia
1853@Bronwenia	1860@Bronwenia	1845@Bronwenia	1860@Bronwenia	1860@Bronwenia	1860@Bronwenia	Bronwenia
1860@Bronwenia	FAIL	FAIL	FAIL	FAIL	1853@Bronwenia	Bronwenia
1874@Banisteriopsis	3536@Banisteriopsis	1850@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	1946@Banisteriopsis	Banisteriopsis
1877@Bronwenia	1860@Bronwenia	1860@Bronwenia	706@Cottsia	FAIL	1944@Bronwenia	Bronwenia
1905@Diplopterys	3606@Diplopterys	644@Carolus	3606@Diplopterys	FAIL	3606@Diplopterys	Diplopterys
1915@Mascagnia	821@Mascagnia	1936@Mascagnia	743@Mascagnia	FAIL	743@Mascagnia	Mascagnia
1928@Diacidia	3966@Diacidia	682@Diacidia	682@Diacidia	682@Diacidia	3357@Diacidia	Diacidia
1936@Mascagnia	3341@Aspidopterys	2065@Mascagnia	743@Mascagnia	FAIL	2065@Mascagnia	Mascagnia
1939@Diplopterys	1240@Diplopterys	1240@Diplopterys	1240@Diplopterys	1860@Bronwenia	3606@Diplopterys	Diplopterys
2065@Mascagnia	3340@Aspidopterys	1936@Mascagnia	743@Mascagnia	FAIL	1936@Mascagnia	Mascagnia
2095@Tetrapterys	3431@Christianella	1525@Christianella	3431@Christianella	777@Christianella	3980@Heteropterys	Tetrapterys
2100@Callaeum	1702@Callaeum	1702@Callaeum	1699@Callaeum	1699@Callaeum	1702@Callaeum	Callaeum
2168@Bunchosia	679@Bunchosia	2831@Bunchosia	2831@Bunchosia	FAIL	679@Bunchosia	Bunchosia
2272@Elatine	2906@Elatine	2909@Elatine	2909@Elatine	FAIL	2279@Elatine	Elatine
2311@Elatine	2909@Elatine	2906@Elatine	2909@Elatine	2906@Elatine	2272@Elatine	Elatine
2647@Galphimia	1582@Galphimia	1653@Galphimia	1717@Galphimia	1653@Galphimia	FAIL	Galphimia
2650@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	1102@Acridocarpus	Acridocarpus
2693@Byrsonima	2764@Byrsonima	2711@Byrsonima	2764@Byrsonima	FAIL	2711@Byrsonima	Byrsonima
270@Microsteira	1324@Microsteira	1324@Microsteira	1661@Microsteira	1386@Microsteira	1382@Microsteira	Microsteira
2700@Byrsonima	2764@Byrsonima	2764@Byrsonima	2693@Byrsonima	2693@Byrsonima	FAIL	Byrsonima
2711@Byrsonima	3955@Byrsonima	2764@Byrsonima	2700@Byrsonima	FAIL	2700@Byrsonima	Byrsonima
2763@Byrsonima	2764@Byrsonima	2711@Byrsonima	2711@Byrsonima	2700@Byrsonima	2711@Byrsonima	Byrsonima
2764@Byrsonima	2711@Byrsonima	2711@Byrsonima	2700@Byrsonima	2700@Byrsonima	2711@Byrsonima	Byrsonima
2794@Byrsonima	FAIL	FAIL	FAIL	FAIL	2711@Byrsonima	Byrsonima
2798@Blepharandra	3345@Blepharandra	3345@Blepharandra	3345@Blepharandra	FAIL	FAIL	Blepharandra
2827@Bunchosia	FAIL	FAIL	1770@Bunchosia	FAIL	679@Bunchosia	Bunchosia
2831@Bunchosia	679@Bunchosia	1770@Bunchosia	2168@Bunchosia	FAIL	679@Bunchosia	Bunchosia
2906@Elatine	2272@Elatine	2279@Elatine	2909@Elatine	2909@Elatine	2272@Elatine	Elatine
2907@Elatine	2909@Elatine	2311@Elatine	2311@Elatine	2906@Elatine	2272@Elatine	Elatine
2909@Elatine	2279@Elatine	2272@Elatine	2279@Elatine	2279@Elatine	2272@Elatine	Elatine
2942@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	3676@Tetrapterys	Tetrapterys
2960@Banisteriopsis	1850@Banisteriopsis	3536@Banisteriopsis	3536@Banisteriopsis	FAIL	1850@Banisteriopsis	Banisteriopsis
2985@Heteropterys	FAIL	FAIL	FAIL	FAIL	3345@Blepharandra	Heteropterys
3013@Banisteriopsis	1850@Banisteriopsis	1850@Banisteriopsis	2960@Banisteriopsis	FAIL	3527@Banisteriopsis	Banisteriopsis
3121@Tristellateia	1502@Tristellateia	1502@Tristellateia	1502@Tristellateia	1502@Tristellateia	3680@Tristellateia	Tristellateia
3122@Triaspis	1176@Triaspis	1174@Triaspis	1174@Triaspis	3386@Malpighia	1174@Triaspis	Triaspis
3129@Bunchosia	FAIL	FAIL	FAIL	FAIL	1774@Bunchosia	Bunchosia
3211@Acridocarpus	176@Acridocarpus	1102@Acridocarpus	168@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
3220@Heteropterys	3301@Heteropterys	3609@Diplopterys	777@Christianella	FAIL	FAIL	Heteropterys
