sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
1165@Dicella	3600@Dicella	777@Christianella	3600@Dicella	FAIL	3600@Dicella	Dicella
1182@Tristellateia	3680@Tristellateia	3679@Tristellateia	3121@Tristellateia	3679@Tristellateia	3680@Tristellateia	Tristellateia
1386@Microsteira	1382@Microsteira	1661@Microsteira	1661@Microsteira	1661@Microsteira	1324@Microsteira	Microsteira
1502@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	Tristellateia
1503@Hiptage	2657@Hiptage	1314@Hiptage	2657@Hiptage	2657@Hiptage	1314@Hiptage	Hiptage
1525@Christianella	3431@Christianella	777@Christianella	777@Christianella	FAIL	3431@Christianella	Christianella
1531@Amorimia	3518@Amorimia	1534@Amorimia	3338@Amorimia	3518@Amorimia	3518@Amorimia	Amorimia
1610@Malpighiodes	2100@Callaeum	3640@Malpighiodes	3431@Christianella	FAIL	1570@Malpighiodes	Malpighiodes
1661@Microsteira	1382@Microsteira	1382@Microsteira	1386@Microsteira	1386@Microsteira	1382@Microsteira	Microsteira
170@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
1705@Dicella	3600@Dicella	3600@Dicella	3600@Dicella	1165@Dicella	1165@Dicella	Dicella
1716@Dicella	3301@Heteropterys	3970@Dicella	777@Christianella	FAIL	1705@Dicella	Dicella
1739@Thryallis	1740@Thryallis	1740@Thryallis	1740@Thryallis	FAIL	1740@Thryallis	Thryallis
1770@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	Bunchosia
1860@Bronwenia	3536@Banisteriopsis	1853@Bronwenia	S-60	1853@Bronwenia	1853@Bronwenia	Bronwenia
1915@Mascagnia	1089@Triaspis	2065@Mascagnia	821@Mascagnia	FAIL	743@Mascagnia	Mascagnia
2095@Tetrapterys	3431@Christianella	777@Christianella	3431@Christianella	777@Christianella	3980@Heteropterys	Tetrapterys
2168@Bunchosia	679@Bunchosia	2831@Bunchosia	2831@Bunchosia	1770@Bunchosia	679@Bunchosia	Bunchosia
2272@Elatine	2906@Elatine	2906@Elatine	2909@Elatine	2909@Elatine	2279@Elatine	Elatine
2311@Elatine	2909@Elatine	2906@Elatine	2272@Elatine	2906@Elatine	2272@Elatine	Elatine
2693@Byrsonima	2764@Byrsonima	2764@Byrsonima	2700@Byrsonima	FAIL	2711@Byrsonima	Byrsonima
270@Microsteira	1324@Microsteira	1324@Microsteira	1661@Microsteira	1386@Microsteira	1382@Microsteira	Microsteira
2700@Byrsonima	2764@Byrsonima	2764@Byrsonima	2693@Byrsonima	2764@Byrsonima	2711@Byrsonima	Byrsonima
2711@Byrsonima	2764@Byrsonima	2700@Byrsonima	2700@Byrsonima	3955@Byrsonima	2700@Byrsonima	Byrsonima
2763@Byrsonima	2764@Byrsonima	2764@Byrsonima	2711@Byrsonima	2700@Byrsonima	2711@Byrsonima	Byrsonima
2764@Byrsonima	2711@Byrsonima	2711@Byrsonima	2700@Byrsonima	2700@Byrsonima	2711@Byrsonima	Byrsonima
2794@Byrsonima	FAIL	FAIL	FAIL	FAIL	2711@Byrsonima	Byrsonima
2831@Bunchosia	679@Bunchosia	1770@Bunchosia	2168@Bunchosia	1774@Bunchosia	679@Bunchosia	Bunchosia
2960@Banisteriopsis	1850@Banisteriopsis	3536@Banisteriopsis	1850@Banisteriopsis	FAIL	1850@Banisteriopsis	Banisteriopsis
