sp	matK	rbcL	ndhF	trnL-F	ITS
170	T	T	T	T	FAIL
1102	T	T	T	T	T
1503	T	T	T	T	T
1525	T	FAIL	T	FAIL	T
1610	F	F	F	FAIL	T
1705	T	T	T	T	T
1716	F	F	T	F	T
1770	T	T	T	T	T
1860	F	T	FAIL	T	T
1915	T	T	T	F	T
2095	F	FAIL	F	FAIL	F
2168	T	T	T	T	T
2311	T	T	T	T	T
2693	T	T	T	T	T
2700	T	T	T	T	T
2711	T	T	T	T	T
2764	T	T	T	T	T
2960	T	T	T	T	T
3129	F	F	F	F	F
3230	T	T	T	T	T
3234	T	T	T	T	T
3279	T	T	F	T	T
3301	T	T	T	T	T
3338	T	T	T	T	T
3341	T	F	T	T	T
3419	T	T	T	FAIL	F
3527	T	T	T	T	T
3536	T	T	T	T	T
3545	T	T	FAIL	FAIL	T
3606	T	F	T	FAIL	T
3676	T	T	T	T	T
3935	T	T	T	F	T
3955	T	T	T	T	F
3966	T	T	T	T	T
3970	T	T	F	FAIL	T
3980	T	T	T	FAIL	T
4004	T	T	T	T	T
C-127	C-296	C-296	C-129	C-129	C-129
C-129	C-127	C-127	C-127	C-127	C-127
C-130	C-48	C-303	C-303	C-181	C-414
C-136	C-21	C-21	C-21	C-265	C-21
C-17	C-86	C-86	C-313	C-69	C-69
C-181	C-48	C-48	C-48	C-365	C-48
C-21	C-136	C-136	C-136	C-342	C-136
C-227	C-40	C-40	C-40	C-40	C-40
C-239	C-387	C-387	C-500	C-387	C-387
C-251	C-40	C-40	C-40	C-40	C-259
C-259	C-40	C-40	C-40	C-40	C-32
C-263	C-64	C-136	C-265	C-21	C-64
C-265	C-263	C-263	C-263	C-263	C-414
C-271	C-365	C-393	C-365	C-365	C-393
C-280	C-86	C-86	C-86	C-86	C-69
C-296	C-127	C-127	C-127	C-127	C-127
C-303	C-48	C-130	C-130	C-40	C-414
C-313	C-86	C-86	C-17	C-17	C-69
C-32	C-40	C-251	C-40	C-40	C-259
C-342	C-136	C-136	C-136	C-21	C-21
C-365	C-271	C-393	C-271	C-271	C-393
C-387	C-500	C-239	C-500	C-239	C-239
C-393	C-365	C-365	C-365	C-271	C-271
C-40	C-259	C-259	C-259	C-259	C-259
C-48	C-181	C-181	C-181	C-130	C-181
C-500	C-387	C-387	C-387	C-387	C-387
C-64	C-263	C-263	C-265	C-263	C-414
C-69	C-86	C-86	C-17	C-17	C-17
C-86	C-313	C-17	C-17	C-313	C-69
S-1	T	T	T	T	T
S-2	T	T	T	T	T
S-3	T	T	T	FAIL	T
S-4	T	T	T	T	T
S-5	T	T	T	T	T
S-6	T	T	T	T	T
S-7	T	T	T	T	T
S-8	T	T	T	T	T
S-9	T	T	T	T	T
S-10	T	T	T	T	T
S-11	T	T	T	T	T
S-12	FAIL	FAIL	FAIL	FAIL	F
S-13	T	T	T	T	T
S-14	T	T	T	T	T
S-15	T	T	T	T	T
S-16	T	T	T	T	T
S-17	T	T	T	T	T
S-18	F	F	F	FAIL	F
S-19	T	T	T	T	T
S-20	T	T	T	T	T
S-21	T	T	T	T	T
S-22	T	T	T	T	T
S-23	FAIL	F	F	FAIL	T
S-24	T	T	T	T	T
S-25	T	T	T	T	T
S-26	T	T	T	T	T
S-27	T	T	T	T	T
S-28	T	T	T	T	T
S-29	T	T	T	T	T
S-30	T	F	T	FAIL	T
S-31	F	F	F	FAIL	T
S-32	T	T	T	T	T
S-33	T	T	T	FAIL	T
S-34	T	T	F	T	T
S-35	T	T	T	FAIL	T
S-36	T	T	T	T	T
S-37	T	F	F	FAIL	T
S-38	F	T	F	T	T
S-39	F	T	F	T	T
S-40	T	T	F	T	T
S-41	T	T	T	T	T
S-42	T	T	T	T	T
S-43	T	T	T	T	T
S-44	T	T	T	T	T
S-45	T	T	T	T	T
S-46	T	T	T	T	T
S-47	T	T	T	T	T
S-48	T	T	T	T	T
S-49	T	T	T	T	T
S-50	T	T	T	T	T
S-51	T	T	T	T	T
S-52	F	T	T	FAIL	T
S-53	T	T	T	T	T
S-54	T	T	T	T	T
S-55	T	T	T	T	T
S-56	FAIL	FAIL	FAIL	FAIL	F
S-57	T	T	T	FAIL	T
S-58	T	T	T	T	T
S-59	T	T	T	T	T
S-60	T	T	T	FAIL	T
S-61	F	T	T	F	T
S-62	F	T	T	T	T
S-63	F	T	F	FAIL	T
S-64	T	F	T	T	T
S-65	T	T	T	T	T
S-66	T	T	T	T	T
S-67	T	T	T	T	T
S-68	T	T	T	T	T
S-69	F	F	T	T	T
S-70	F	T	T	FAIL	T
S-71	FAIL	T	F	FAIL	T
S-72	T	T	T	T	T
S-73	T	T	T	T	T
S-74	T	T	T	T	T
S-75	T	T	T	FAIL	T
S-76	T	F	T	FAIL	T
S-77	T	T	T	FAIL	T
S-78	FAIL	F	FAIL	FAIL	T
S-79	T	T	T	FAIL	T
S-80	F	T	T	T	T
S-81	T	T	F	T	T
S-82	F	T	F	T	T
S-83	T	T	T	T	T
S-84	T	T	T	FAIL	T
S-85	T	T	F	T	T
S-86	T	T	T	FAIL	T
S-87	T	T	F	T	T
S-88	T	T	T	F	T
S-89	F	T	F	T	T
S-90	T	T	F	FAIL	T
S-91	T	T	T	T	T
S-92	T	T	T	T	T
S-93	FAIL	FAIL	FAIL	FAIL	T
S-94	T	T	T	T	T
S-95	T	T	T	T	T
S-96	T	T	T	T	T
S-97	T	T	T	T	T
S-98	T	T	T	T	T
S-99	T	T	T	T	T
S-100	T	T	T	T	T
