sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
2764@Byrsonima	3955@Byrsonima	2711@Byrsonima	2700@Byrsonima	FAIL	FAIL	Byrsonima
1089@Triaspis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
1162@Camarea	FAIL	FAIL	FAIL	FAIL	3594@Camarea	Camarea
1165@Dicella	FAIL	FAIL	FAIL	FAIL	3600@Dicella	Dicella
1174@Triaspis	3122@Triaspis	3122@Triaspis	3122@Triaspis	4004@Triaspis	3122@Triaspis	Triaspis
1176@Triaspis	3122@Triaspis	4004@Triaspis	4004@Triaspis	FAIL	4004@Triaspis	Triaspis
1182@Tristellateia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1240@Diplopterys	FAIL	FAIL	FAIL	FAIL	3527@Banisteriopsis	Diplopterys
1285@Aspidopterys	3341@Aspidopterys	1936@Mascagnia	4004@Triaspis	FAIL	3342@Aspidopterys	Aspidopterys
1314@Hiptage	2657@Hiptage	2657@Hiptage	3375@Hiptage	FAIL	FAIL	Hiptage
1324@Microsteira	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1382@Microsteira	1324@Microsteira	1661@Microsteira	1386@Microsteira	FAIL	270@Microsteira	Microsteira
1386@Microsteira	1382@Microsteira	1661@Microsteira	1661@Microsteira	1661@Microsteira	1382@Microsteira	Microsteira
1502@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	3121@Tristellateia	Tristellateia
1503@Hiptage	2657@Hiptage	1314@Hiptage	2657@Hiptage	FAIL	FAIL	Hiptage
1525@Christianella	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1531@Amorimia	3518@Amorimia	1534@Amorimia	3338@Amorimia	FAIL	3518@Amorimia	Amorimia
1534@Amorimia	3518@Amorimia	1531@Amorimia	3518@Amorimia	FAIL	3518@Amorimia	Amorimia
1538@Carolus	644@Carolus	1702@Callaeum	1703@Callaeum	FAIL	1590@Carolus	Carolus
1543@Carolus	1503@Hiptage	1503@Hiptage	1503@Hiptage	1503@Hiptage	FAIL	Hiptage
1556@Malpighia	3234@Malpighia	3230@Malpighia	3234@Malpighia	3386@Malpighia	3230@Malpighia	Malpighia
1570@Malpighiodes	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1582@Galphimia	2207@Galphimia	2207@Galphimia	2207@Galphimia	1717@Galphimia	FAIL	Galphimia
1590@Carolus	FAIL	FAIL	FAIL	FAIL	644@Carolus	Carolus
1610@Malpighiodes	FAIL	FAIL	FAIL	FAIL	1570@Malpighiodes	Malpighiodes
1653@Galphimia	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1661@Microsteira	1386@Microsteira	1382@Microsteira	1386@Microsteira	1386@Microsteira	1382@Microsteira	Microsteira
1676@Aspicarpa	1678@Aspicarpa	618@Aspicarpa	746@Aspicarpa	1678@Aspicarpa	618@Aspicarpa	Aspicarpa
1677@Aspicarpa	1678@Aspicarpa	1678@Aspicarpa	746@Aspicarpa	1678@Aspicarpa	1678@Aspicarpa	Aspicarpa
1678@Aspicarpa	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1679@Callaeum	2100@Callaeum	1702@Callaeum	1702@Callaeum	1703@Callaeum	1702@Callaeum	Callaeum
168@Acridocarpus	1102@Acridocarpus	3211@Acridocarpus	170@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus	Acridocarpus
1699@Callaeum	2100@Callaeum	2100@Callaeum	2100@Callaeum	1702@Callaeum	1702@Callaeum	Callaeum
170@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
1702@Callaeum	2100@Callaeum	1679@Callaeum	1699@Callaeum	FAIL	1699@Callaeum	Callaeum
1703@Callaeum	FAIL	FAIL	FAIL	FAIL	1702@Callaeum	Callaeum
1705@Dicella	FAIL	777@Christianella	FAIL	FAIL	3600@Dicella	Dicella
1716@Dicella	FAIL	FAIL	FAIL	FAIL	1705@Dicella	Dicella
1717@Galphimia	2647@Galphimia	2985@Heteropterys	2647@Galphimia	C-86	FAIL	Galphimia
1739@Thryallis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
174@Triaspis	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL
1740@Thryallis	1739@Thryallis	679@Bunchosia	1739@Thryallis	FAIL	3729@Thryallis	Thryallis
176@Acridocarpus	3211@Acridocarpus	69@Acridocarpus	3211@Acridocarpus	3211@Acridocarpus	2650@Acridocarpus	Acridocarpus
