sp	matK	rbcL	ndhF	trnL-F	ITS
2764@Byrsonima	3955@Byrsonima	2711@Byrsonima	2700@Byrsonima	FAIL	FAIL
3536@Banisteriopsis	FAIL	3527@Banisteriopsis	1874@Banisteriopsis	FAIL	3527@Banisteriopsis
C-280	C-86	C-86	C-86	FAIL	C-69
C-86	C-313	C-17	C-17	C-313	C-69
C-342	C-136	C-136	C-136	C-21	C-21
1525@Christianella	FAIL	FAIL	FAIL	FAIL	FAIL
C-313	C-86	C-86	C-69	FAIL	C-69
C-259	C-40	C-40	C-40	C-40	C-32
C-265	C-263	C-263	C-263	FAIL	C-414
C-48	C-64	C-181	C-130	FAIL	C-181
C-251	FAIL	C-40	C-40	FAIL	C-259
C-64	C-265	C-263	C-263	C-263	C-414
C-365	C-393	C-393	C-393	FAIL	C-393
C-129	C-127	C-127	C-127	C-365	C-127
C-303	C-48	C-130	C-130	FAIL	C-414
C-227	C-32	C-251	C-32	FAIL	C-259
C-127	C-296	C-296	C-129	C-129	C-296
C-271	C-365	C-393	C-365	C-365	C-393
C-136	C-21	C-21	C-21	FAIL	C-21
3419@Tetrapterys	3423@Tetrapterys	743@Mascagnia	3676@Tetrapterys	FAIL	3423@Tetrapterys
C-263	C-64	C-136	C-265	C-265	C-64
1503@Hiptage	2657@Hiptage	1314@Hiptage	2657@Hiptage	FAIL	FAIL
C-40	C-32	C-251	C-259	C-69	C-259
C-296	C-127	C-127	C-127	C-127	C-127
3545@Burdachia	FAIL	FAIL	FAIL	FAIL	3349@Burdachia
C-69	C-86	C-86	C-86	C-313	C-17
2095@Tetrapterys	3431@Christianella	3970@Dicella	1703@Callaeum	FAIL	3980@Heteropterys
C-130	C-48	C-303	C-303	C-181	C-414
C-17	C-86	C-86	C-313	FAIL	C-69
C-32	FAIL	C-40	C-40	FAIL	C-259
1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	2650@Acridocarpus
C-181	C-86	C-48	C-130	FAIL	C-48
C-21	C-136	C-136	C-136	C-342	C-136
1860@Bronwenia	FAIL	FAIL	FAIL	FAIL	1853@Bronwenia
2711@Byrsonima	3955@Byrsonima	2764@Byrsonima	3955@Byrsonima	FAIL	2700@Byrsonima
3279@Heteropterys	3301@Heteropterys	1860@Bronwenia	3431@Christianella	FAIL	3980@Heteropterys
1610@Malpighiodes	FAIL	FAIL	FAIL	FAIL	1570@Malpighiodes
3966@Diacidia	3452@Diacidia	3452@Diacidia	682@Diacidia	3452@Diacidia	3452@Diacidia
3606@Diplopterys	S-80	FAIL	FAIL	FAIL	1905@Diplopterys
C-239	C-387	C-387	C-387	C-387	C-387
C-387	C-239	C-239	C-239	C-239	C-239
2960@Banisteriopsis	FAIL	FAIL	FAIL	FAIL	1850@Banisteriopsis
3338@Amorimia	1531@Amorimia	777@Christianella	1703@Callaeum	FAIL	1531@Amorimia
C-393	C-365	C-365	C-365	FAIL	C-271
C-500	C-387	C-387	C-387	FAIL	C-387
3970@Dicella	FAIL	FAIL	FAIL	FAIL	S-82
